Title	Description
Imperium	The Imperium of Man, also occasionally called the Imperium of Mankind and simply the Imperium, is the galactic empire under which the majority of humanity is united. The founder and nominal ruler of the Imperium is the god-like Emperor of Mankind, the most powerful human psyker ever known.[3a] The Imperium is the largest and most powerful political entity in the galaxy. An Imperial planet might be separated from its closest neighbour by hundreds or thousands of light years. As a stellar empire, the size of the Imperium cannot be measured in terms of contiguous territory, but only in the number of planetary systems in its control.[3a] While it is commonly stated that the Imperium is an empire of a million worlds[3a][10a], the Imperium controls countless worlds[10f]. Some state between a million,[10a] millions,[10b] a billion or even billions in total.[10d] The overall number of planets has never been exactly determined, entire departments of the Administratum are devoted to cataloguing every controlled world, a task without end, due to the constantly changing nature of the domain. New planets are constantly discovered, conquered or colonised while old ones are lost[10f]. The Imperium also controls untold millions of stars.[10e] The Imperium rules a million worlds is a common saying heard across its citizenry. A million worlds sounds numerous and strong. A dominating force. Easily understood by the egos of men. In truth, the Imperium is spread out thinly across billions of worlds, individual motes scattered across the vastness of the galaxy. Vulnerable to its many perilous threats.
Adeptus Mechanicus	The Adeptus Mechanicus, refered to in shorthand as AdMech,[48b] formerly known as the Martian Mechanicum, is a technological organisation, often known as the Priesthood of Mars. It holds a monopoly on technological knowledge in the Imperium. Their Forge Worlds turn out the Imperium's most powerful and advanced weaponry and equipment. The organisation's adepts, the Tech-priests, are vital in maintaining much of the Imperium's more technologically advanced equipment, not least of which is the Emperor's life-sustaining Golden Throne.[48a] While the Adeptus Mechanicus is a part of the Imperium, it has developed separately and enjoys a considerable degree of independence. Due to the great amount of power it wields, the Adeptus Mechanicus could almost be said to be like an allied empire, rather than an organisation within the Imperium. The Adeptus Mechanicus also follows a different religion from the rest of the Imperium. The religion and religious structure of the Adeptus Mechanicus is known as the Cult Mechanicus. The symbol of the Adeptus Mechanicus is a skull, half-bone and half-machine, set against the background of a black and white cog. Adepts of the Adeptus Mechanicus are known as tech-priests. Any member of the Cult Mechanicus over the rank of menial will often be referred to as a tech-priest, though Magi and higher ranks are usually referred to by rank. As befits the religious nature of the Mechanicus, tech-priests usually wear robes, which are usually either rust-red or white. Tech-priests are often cybernetically augmented. The level of a techpriest's augmentation is highly dependent on his rank within the Cult Mechanicus; a novice may have only one or two augmented systems, if any, while very senior members may have only a few biological organs left in their bodies.
Ratling	Ratlings (Homo Sapiens Minimus), known also as Runtlings, Stunties and Maggots but among themselves as Halflings, are small and hedonistically jovial abhumans who commonly work aboard spacecraft as cabin crew and runarounds, benefitting from their low stature. They rarely find employment in the Imperial Guard due to their physical weakness and less than ideal temperament, but their expertise in marksmanship, low weight, and short height (which lends them a stealthy quality) make ratlings well suited to the role of sniper. Ratlings are the smallest type of abhuman, their ancestors having become stunted by thousands of years of inbreeding on worlds with naturally soporific climates and abundant harvests. Ratlings rarely reach 1.3 meters in height, being even smaller and slighter than Squats, and though their lack of dietary restrictions tend to make them husky, they are not particularly strong or resilient. They are idle, hedonistic, loud, gregarious, over-friendly and sexually promiscuous. Their lives are spent eating until sick, drinking copious amounts of intoxicating liquids, and procreating uncontrollably. Their proclivities towards food exemplifies in their cuisine, which is well known as phenomenal among the Imperial Guard.
Joygirl	A Joygirl is a term in Imperial Culture for a woman who sells her body for money; a prostitute. Joygirls are often employed in Joy Houses.
Cyber-mastiff	Cyber-Mastiffs are Mastiffs, or other Canids, that have received varying amounts of bionic upgrades. Some are almost entirely mechanical creatures resembling a hound and guided by the brain and nervous system of a hunting creature, after such components have been integrated by members of the Adeptus Mechanicus. It isn't uncommon, however, to see mostly biological canines who have only received a minimal amount of cybernetic upgrades. Commonly known as kill-dogs, razorfangs and rending rovers, Cyber-Mastiffs have an in-built hunting and attack instinct and can only respond to the simplest of commands from their assigned handler, but are still fully capable of defending themselves and their masters. They can be fitted with additional sensors, such as an Auspex, which are always used on passive. It is said that Cyber-Mastiff can rip off an Ogryn's arm in just one snap of its powerful jaws. Some cyber-mastiffs are vat-grown; furred-slabs bulked out with vat-grown muscles and ridged with augmetic implants. Cyber-Mastiffs are often deployed under the control of Adeptus Arbites Patrol and Enforcer units for hunting down their prey and to catch criminal fugitives who attempt to escape. Some cyber-mastiffs will pin a target with their teeth barely penetrating their throat, pinning them to the ground with their bulk, waiting for their handler's kill-command to be given.[25h] Cyber-Mastiffs are a fearsome extension of the Emperor's Law, and a truly terrible sight to see unleashed.
List of Terms	This page is intended to define terms commonly used in Warhammer 40,000. See also: Imperial Terms See also: Tau Lexicon
Astra Militarum	The Astra Militarum, commonly known in Low Gothic as Imperial Guard, is the primary fighting force of the Imperium of Man, so numerous in size that even the Departmento Munitorum cannot place a figure on the number of Guardsmen under arms at any one time; the lists of new recruits and toll of casualties can run into the millions in a single day. Every single year, trillions of new recruits are tithed into the Guard, giving their commanders a functional infinite source of manpower, with it being said that, if the entirety of the Imperial Guard would form up in a column, it would reach from Terra to Armageddon. It would be unfeasible trying to put any exact number on the strength of the Guard; however, it is believed that there must be many billions of Guardsmen, divided into millions of regiments. This absolute numeracy provides the Guard with its main power; their ability to deploy in numbers that, eventually, result in victory. Attacking in seemingly endless influxes across battle-zones, charging forth under the cover of massive barrages and delivering massed lasgun volleys, in the Guard the individual Human soldier may appear a lost thing, almost forgotten. Yet the actions of these anonymous soldiers daily decide the fate of worlds. In times of crisis the Imperial Guard will call upon their deadliest of soldiers, whether they are the Imperium's famed Storm Troopers or the regimental elite Kasrkin and Death Korps Grenadiers. The Guard forms the very backbone of the Imperium; without it, Mankind would surely perish. Whilst regular Guardsmen are hardly the equals of Space Marines, fighting neither with the advantages of genetic enhancement or the most powerful personal weaponry, the Guard possesses the courage and the manpower to face and annihilate the enemies of the Emperor across the galaxy.[2a]
Mortuarium	A mortuarium medical facility where corpses are stored and autopsies conducted. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. A mortuarium is similar to a coroner's and medical examiner's facility.
Vincent Morrow	Sergeant-Major Vincent Morrow is a respected leader amongst Inquisitor Grendyl's warband and a former member of the Armageddon Steel Legion.[2b] As a Trooper, Vin Morrow joined the 2nd Company of an Armageddon Steel Legion regiment under the command of Captain Belis Vanderack. He was promoted to Sergeant by Captain Vanderack after the death of Sergeant Havergil in battle. Their regiment was among those that fought in the First War for Armageddon. Early in the conflict, Morrow led a recon platoon that killed Haranak the Red, one of the Hounds of Angron. Later on, under orders from Commissar Kurt Namark, the company was tasked with disrupting the supply lines of Heretic Astartes assaulting the River Styx. This was an apparent suicide mission.
Micro-Bead	Micro-beads, comm-beads or vox-beads are short-range communication devices used by the Imperium. Micro-beads are worn in the user's ear and, if produced to a high craftsmanship, are nearly undetectable by casual inspection. Their range can be good out to about one, five, or ten kilometres, but such things as bad weather, dense terrain and intervening rock or plasteel can greatly reduce this range. Micro-bead signals can be picked up and boosted through the use of vox-casters. Micro-beads are designed to fit into standard issue Guard rebreathers and helmets. They are directly attached to the throat, enabling sub-vocal communications, both transmitted and received. This way, the wearer retains 360° natural hearing capabilities. Outgoing sub-vocal transmissions are picked up from vibrations of the larynx while incoming sub-vocal transmission are transmitted directly to the ear canal through the facial bones.
